trainer_id,trainer_name,variants,location_count,locations,normal_team_preview,hardcore_team_preview
2,Ace Trainer Andrew,hardcore|normal,1,Two Island Game Corner [stage=17],Infernape Lv103 | Sceptile Lv103 | Torterra Lv103 | Blaziken Lv103 | Greninja Lv103 | Inteleon Lv103,Infernape Lv103 | Sceptile Lv103 | Torterra Lv103 | Blaziken Lv103 | Greninja Lv103 | Inteleon Lv103
3,PkMn Trainer Red,hardcore|normal,1,Treasure Beach [stage=17],Pikachu Lv103 | Venusaur Lv103 | Blastoise Lv103 | Charizard Lv103 | Snorlax Lv103 | Mewtwo Lv103,Pikachu Lv103 | Venusaur Lv103 | Blastoise Lv103 | Charizard Lv103 | Snorlax Lv103 | Mewtwo Lv103
4,Lass Anne,hardcore|normal,1,Viridian Forest [stage=0],Stufful Lv102 | Clefairy Lv104 | Audino Lv102,Stufful Lv102 | Clefairy Lv104 | Audino Lv102
5,Gentleman Komodo,hardcore|normal,1,Route 5 Daycare [stage=2],Overqwil Lv100 | Goodra Lv100 | Arcanine Lv100 | Lilligant Lv100 | Avalugg Lv100 | Kleavor Lv100,Overqwil Lv100 | Goodra Lv100 | Arcanine Lv100 | Lilligant Lv100 | Avalugg Lv100 | Kleavor Lv100
6,Friendly PkMnManiac,hardcore|normal,1,Cerulean City Move Maniac House [stage=2],Aron Lv5 | Pikachu Lv5 | Gastly Lv5 | Skorupi Lv5 | Timburr Lv5 | Larvesta Lv5,Aron Lv5 | Pikachu Lv5 | Gastly Lv5 | Skorupi Lv5 | Timburr Lv5 | Larvesta Lv5
7,Friendly Teacher,hardcore|normal,1,Viridian City Trainer School [stage=0],Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100,Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100 | Shedinja Lv100
8,Leader Bugsy,hardcore|normal,1,Route 25 [stage=4],Kleavor Lv103 | Scizor Lv103 | Scyther Lv103 | Lokix Lv103 | Araquanid Lv103 | Vikavolt Lv103,Kleavor Lv103 | Scizor Lv103 | Scyther Lv103 | Lokix Lv103 | Araquanid Lv103 | Vikavolt Lv103
9,Friendly Coach,hardcore|normal,1,Lavender Town EXP Farm [stage=3],Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1,Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1 | Jumpluff Lv1
10,Friendly Coach,hardcore|normal,1,Lavender Town EXP Farm [stage=3],Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1,Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1 | Stoutland Lv1
11,Friendly Coach,hardcore|normal,1,Lavender Town EXP Farm [stage=3],Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1,Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1 | Coalossal Lv1
12,Friendly Coach,hardcore|normal,1,Lavender Town EXP Farm [stage=3],Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1,Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1 | Beautifly Lv1
13,Friendly Coach,hardcore|normal,1,Lavender Town EXP Farm [stage=3],Dustox Lv1 | Dustox Lv1 | Dustox Lv1 | Dustox Lv1 | Dustox Lv1 | Dustox Lv1,Dustox Lv1 | Dustox Lv1 | Dustox Lv1 | Dustox Lv1 | Dustox Lv1 | Dustox Lv1
14,Dumbass Gambler,hardcore|normal,1,Celadon City Game Corner [stage=5],Dusknoir Lv100 | Ludicolo Lv100 | Medicham Lv100 | Alakazam Lv100 | Clefable Lv100 | Snorlax Lv100,Dusknoir Lv100 | Ludicolo Lv100 | Medicham Lv100 | Alakazam Lv100 | Clefable Lv100 | Snorlax Lv100
15,PkMn Trainer Haley,hardcore|normal,1,Route 15 [stage=9],Magnezone Lv103 | Hawlucha Lv103 | Magmortar Lv103 | Cursola Lv103 | Starmie Lv103 | Sandaconda Lv103,Silvally Lv103 | Escavalier Lv103 | Hawlucha Lv103 | Starmie Lv103 | Cursola Lv103 | Sandaconda Lv103
16,PkMn Trainer Sam,hardcore|normal,1,Celadon City Hotel [stage=8],Luvdisc Lv103 | Flapple Lv103 | Farfetch’d Lv103,Tapu Koko Lv103 | Hitmonlee Lv103 | Vaporeon Lv103 | Flapple Lv103
17,PkMn Trainer Shelly,hardcore|normal,1,Celadon City Hotel [stage=8],Dodrio Lv103 | Granbull Lv103 | Appletun Lv103 | Cinccino Lv103,Dodrio Lv103 | Klinklang Lv103 | Cinderace Lv103 | Appletun Lv103
18,PkMn Trainer Cole,hardcore|normal,1,Route 8 [stage=8],Yanmega Lv103 | Tyrantrum Lv103 | Weezing Lv103 | Ferrothorn Lv103 | Gastrodon Lv103 | Centiskorch Lv103,Druddigon Lv103 | Moltres Lv103 | Tapu Fini Lv103 | Landorus Lv103 | Ferrothorn Lv103 | Centiskorch Lv103
19,PkMn Trainer Ketchup,hardcore|normal,1,Cerulean Cave 2F [stage=14],Cloyster Lv103 | Chandelure Lv103 | Ampharos Lv103 | Tapu Bulu Lv103 | Urshifu Lv103 | Urshifu Lv103,Necrozma Lv103 | Thundurus Lv103 | Magmortar Lv103 | Banette Lv103 | Urshifu Lv103 | Urshifu Lv103
20,PkMn Trainer Ketchup,hardcore|normal,1,Cerulean Cave 2F [stage=14],Azumarill Lv103 | Gliscor Lv103 | Dracozolt Lv103 | Aggron Lv103 | Urshifu Lv103 | Urshifu Lv103,Galvantula Lv103 | Cloyster Lv103 | Celesteela Lv103 | Dragapult Lv103 | Urshifu Lv103 | Urshifu Lv103
21,Ace Trainer Nelle,hardcore|normal,1,Viridian Forest Heart [stage=0],Charcadet Lv102 | Gulpin Lv102,Charcadet Lv102 | Gulpin Lv102
24,Dumbass Creator,hardcore|normal,1,Indigo Plateau League Approach [stage=16],Gigalith Lv250 | Shedinja Lv250 | Shedinja Lv250 | Shedinja Lv250 | Shedinja Lv250 | Shedinja Lv250,Gigalith Lv250 | Shedinja Lv250 | Shedinja Lv250 | Shedinja Lv250 | Shedinja Lv250 | Shedinja Lv250
25,Dumbass Kid,hardcore|normal,1,Saffron City Gian's House 1F [stage=8],Swampert Lv103 | Pelipper Lv103 | Scizor Lv103 | Frosmoth Lv103 | Seaking Lv103 | Swampert Lv103,Beartic Lv103 | Zapdos Lv103 | Frosmoth Lv103 | Goodra Lv103 | Scizor Lv103 | Swampert Lv103
26,PkMn Trainer Brendan,hardcore|normal,1,Route 23 [stage=15],Deoxys Lv81 | Jirachi Lv81 | Landorus Lv82 | Zapdos Lv81 | Huntail Lv81 | Sceptile Lv82,Tyrantrum Lv103 | Marowak Lv103 | Empoleon Lv103 | Landorus Lv103 | Ursaluna Lv103 | Sceptile Lv103
27,Friendly Coach,hardcore|normal,1,Lavender Town EXP Farm [stage=3],Audino Lv103 | Audino Lv103 | Audino Lv103 | Audino Lv103 | Audino Lv103 | Audino Lv103,Audino Lv103 | Audino Lv103 | Audino Lv103 | Audino Lv103 | Audino Lv103 | Audino Lv103
28,Leader Morty,hardcore|normal,1,Pokemon Tower 9F [stage=17],Mimikyu Lv103 | Marshadow Lv103 | Silvally Lv103 | Urshifu Lv103 | Gengar Lv103 | Zarude Lv103,Mimikyu Lv103 | Marshadow Lv103 | Silvally Lv103 | Urshifu Lv103 | Gengar Lv103 | Zarude Lv103
32,Leader Misty,hardcore|normal,1,Cerulean City Gym [stage=17],Pikachu Lv103 | Kyogre Lv103 | Goodra Lv103 | Kingdra Lv103 | Drednaw Lv103 | Floatzel Lv103,Pikachu Lv103 | Kyogre Lv103 | Goodra Lv103 | Kingdra Lv103 | Drednaw Lv103 | Floatzel Lv103
35,Dumbass Gian,hardcore|normal,1,Saffron City Gian's House 1F [stage=17],Magearna Lv103 | Swampert Lv103 | Necrozma Lv103 | Greninja Lv103 | Palkia Lv103 | Shaymin Lv103,Magearna Lv103 | Swampert Lv103 | Necrozma Lv103 | Greninja Lv103 | Palkia Lv103 | Shaymin Lv103
38,Leader Clair,hardcore|normal,1,Viridian City Gym [stage=17],Dragapult Lv103 | Dialga Lv103 | Dragonite Lv103 | Flapple Lv103 | Kyurem Lv103 | Genesect Lv103,Dragapult Lv103 | Dialga Lv103 | Dragonite Lv103 | Flapple Lv103 | Kyurem Lv103 | Genesect Lv103
39,Champion Lance,hardcore|normal,1,Cerulean Cave B1F [stage=13],Dragapult Lv83 | Dialga Lv83 | Salamence Lv82,Dragapult Lv83 | Dialga Lv83 | Salamence Lv82
40,Dumbass Jojo Fan,hardcore|normal,1,One Island [stage=17],Galvantula Lv103 | Garchomp Lv103 | Huntail Lv103 | Necrozma Lv103 | Machamp Lv103 | Hoopa Lv103,Galvantula Lv103 | Garchomp Lv103 | Huntail Lv103 | Necrozma Lv103 | Machamp Lv103 | Hoopa Lv103
41,Rocket Admin Ariana,hardcore|normal,1,Mt Ember Exterior [stage=17],Ambipom Lv103 | Weavile Lv103 | Victini Lv103 | Toxapex Lv103 | Mawile Lv103 | Xerneas Lv103,Lopunny Lv103 | Greninja Lv103 | Dragonite Lv103 | Delphox Lv103 | Xerneas Lv103 | Mawile Lv103
42,Rocket Admin Archer,hardcore|normal,1,Mt Ember Summit [stage=17],Aerodactyl Lv103 | Heliolisk Lv103 | Latias Lv103 | Houndoom Lv103 | Mismagius Lv103 | Heatran Lv103,Aerodactyl Lv103 | Heliolisk Lv103 | Zygarde Lv103 | Heatran Lv103 | Salamence Lv103 | Houndoom Lv103
43,Leader Falkner,hardcore|normal,1,Rock Tunnel Magearna's Chamber [stage=17],Pidgeot Lv103 | Yanmega Lv103 | Shaymin Lv103 | Enamorus Lv103 | Ho-Oh Lv103 | Gyarados Lv103,Pidgeot Lv103 | Yanmega Lv103 | Shaymin Lv103 | Enamorus Lv103 | Ho-Oh Lv103 | Gyarados Lv103
44,PkMn Trainer Brendan,hardcore|normal,1,Viridian Forest [stage=0],Corphish Lv7 | Treecko Lv8,Meditite Lv101 | Corphish Lv102 | Numel Lv102 | Treecko Lv103
45,Leader Falkner,hardcore|normal,1,Pewter City Museum 2F [stage=0],Rufflet Lv12 | Wattrel Lv14 | Flittle Lv14,Trumbeak Lv101 | Wattrel Lv103 | Yanma Lv104 | Squawkabilly Lv101 | Farfetch’d Lv101
46,Rocket Admin Archer,hardcore|normal,1,Mt. Moon B2F [stage=1],Glimmet Lv18 | Houndour Lv19 | Mightyena Lv21,Glimmet Lv104 | Seviper Lv101 | Houndour Lv103 | Mightyena Lv101 | Fearow Lv104
47,Leader Bugsy,hardcore|normal,1,Route 25 [stage=2],Lokix Lv103 | Ledian Lv103 | Scyther Lv103 | Scizor Lv103,Kleavor Lv103 | Scizor Lv103 | Scyther Lv103 | Lokix Lv103 | Araquanid Lv103 | Vikavolt Lv103
48,Leader Misty,hardcore|normal,1,Cerulean City Gym [stage=9],Palafin Lv103 | Kingdra Lv103 | Archaludon Lv103 | Gyarados Lv103 | Ferrothorn Lv103 | Gorebyss Lv103,Iron Bundle Lv103 | Palafin Lv103 | Kingdra Lv103 | Archaludon Lv103 | Thundurus Lv103 | Gyarados Lv103
49,Leader Whitney,hardcore|normal,1,Route 11 [stage=2],Tinkaton Lv103 | Farigiraf Lv103 | Miltank Lv103 | Drampa Lv103 | Dudunsparce Lv103,Pyroar Lv103 | Farigiraf Lv103 | Luvdisc Lv103 | Swellow Lv103 | Togekiss Lv103 | Altaria Lv103
50,PkMn Trainer Brendan,hardcore|normal,1,S.S. Anne 2F [stage=2],Loudred Lv103 | Lunatone Lv103 | Crawdaunt Lv103 | Grovyle Lv103,Crawdaunt Lv103 | Slaking Lv103 | Plusle Lv103 | Gardevoir Lv103 | Sceptile Lv103 | Hariyama Lv103
51,Leader Lt. Surge,hardcore|normal,1,Vermilion City Gym [stage=9],Iron Treads Lv103 | Bellibolt Lv103 | Rotom Lv103 | Pawmot Lv103 | Manectric Lv103 | Iron Hands Lv103,Pawmot Lv103 | Iron Thorns Lv103 | Iron Moth Lv103 | Iron Hands Lv103 | Miraidon Lv103 | Manectric Lv103
52,Leader Morty,hardcore|normal,1,Lavender Town Mr. Fuji's House [stage=3],Mimikyu Lv103 | Dusknoir Lv103 | Zoroark Lv103 | Skeledirge Lv103 | Gengar Lv103 | Ceruledge Lv103,Krookodile Lv103 | Dusknoir Lv103 | Mismagius Lv103 | Ceruledge Lv103 | Weavile Lv103 | Gengar Lv103
53,Rocket Admin Archer,hardcore|normal,1,Silph Co. 11F [stage=6],Gothitelle Lv54 | Gholdengo Lv55 | Houndoom Lv55,Articuno Lv55 | Gholdengo Lv55 | Houndoom Lv56
54,Rocket Admin Ariana,hardcore|normal,1,Silph Co. 11F [stage=6],Incineroar Lv54 | Primarina Lv55 | Mawile Lv55,Incineroar Lv55 | Primarina Lv55 | Mawile Lv56
55,PkMn Trainer Brendan,hardcore|normal,1,Silph Co. 11F [stage=6],Masquerain Lv55 | Exploud Lv55 | Sceptile Lv55,Masquerain Lv55 | Exploud Lv55 | Sceptile Lv55
56,Leader Brock,hardcore|normal,1,Pewter City Gym [stage=9],Great Tusk Lv103 | Omastar Lv103 | Ursaluna Lv103 | Tyranitar Lv103 | Arcanine Lv103 | Aerodactyl Lv103,Iron Boulder Lv103 | Landorus Lv103 | Zygarde Lv103 | Iron Treads Lv103 | Ursaluna Lv103 | Aerodactyl Lv103
57,PkMn Trainer Brendan,hardcore|normal,1,Fuchsia City [stage=9],Metagross Lv103 | Medicham Lv103 | Crawdaunt Lv103 | Exploud Lv103 | Gardevoir Lv103 | Sceptile Lv103,Gengar Lv103 | Nihilego Lv103 | Tapu Koko Lv103 | Urshifu Lv103 | Deoxys Lv103 | Sceptile Lv103
58,Leader Pryce,hardcore|normal,1,Route 20 [stage=10],Jynx Lv103 | Cloyster Lv103 | Walrein Lv103 | Baxcalibur Lv103 | Arctozolt Lv103 | Glalie Lv103,Jynx Lv103 | Cloyster Lv103 | Clefable Lv103 | Kyurem Lv103 | Arctozolt Lv103 | Glalie Lv103
59,Leader Pryce,hardcore|normal,1,Route 20 [stage=10],Jynx Lv103 | Cloyster Lv103 | Walrein Lv103 | Baxcalibur Lv103 | Arctozolt Lv103 | Glalie Lv103,Sandslash Lv103 | Reuniclus Lv103 | Clefable Lv103 | Kyurem Lv103 | Arctovish Lv103 | Glalie Lv103
60,Leader Pryce,hardcore|normal,1,Route 20 [stage=10],Jynx Lv103 | Cloyster Lv103 | Walrein Lv103 | Baxcalibur Lv103 | Arctozolt Lv103 | Glalie Lv103,Jynx Lv103 | Cloyster Lv103 | Clefable Lv103 | Kyurem Lv103 | Arctozolt Lv103 | Glalie Lv103
61,PkMn Trainer May,hardcore|normal,1,Cinnabar Island [stage=10],Solrock Lv71 | Breloom Lv71 | Manectric Lv72 | Relicanth Lv72 | Flygon Lv72 | Blaziken Lv73,Aggron Lv73 | Jumpluff Lv73 | Regieleki Lv73 | Slowbro Lv73 | Snorlax Lv73 | Blaziken Lv73
62,Leader Jasmine,hardcore|normal,1,Cinnabar Island Lab [stage=10],Steelix Lv103 | Melmetal Lv103 | Duraludon Lv103 | Durant Lv103 | Samurott Lv103 | Aggron Lv103,Gliscor Lv103 | Tapu Bulu Lv103 | Necrozma Lv103 | Genesect Lv103 | Magnezone Lv103 | Aggron Lv103
63,Leader Jasmine,hardcore|normal,1,Cinnabar Island Lab [stage=10],Bronzong Lv103 | Melmetal Lv103 | Magnezone Lv103 | Excadrill Lv103 | Samurott Lv103 | Aggron Lv103,Gliscor Lv103 | Tapu Bulu Lv103 | Necrozma Lv103 | Genesect Lv103 | Magnezone Lv103 | Aggron Lv103
64,Leader Jasmine,hardcore|normal,1,Cinnabar Island Lab [stage=10],Forretress Lv103 | Melmetal Lv103 | Magnezone Lv103 | Lucario Lv103 | Samurott Lv103 | Aggron Lv103,Gliscor Lv103 | Tapu Bulu Lv103 | Necrozma Lv103 | Genesect Lv103 | Magnezone Lv103 | Aggron Lv103
65,Leader Erika,hardcore|normal,1,Celadon City Gym [stage=9],Ogerpon Lv103 | Meowscarada Lv103 | Hawlucha Lv103 | Sinistcha Lv103 | Lilligant Lv103 | Venusaur Lv103,Meowscarada Lv103 | Serperior Lv103 | Hawlucha Lv103 | Kartana Lv103 | Magearna Lv103 | Ampharos Lv103
66,Dumbass Jojo Fan,hardcore|normal,1,Power Plant [stage=10],Hoopa Lv103 | Aegislash Lv103 | Ogerpon Lv103 | Simisear Lv103 | Celebi Lv103 | Machamp Lv103,Hoopa Lv103 | Aegislash Lv103 | Ogerpon Lv103 | Simisear Lv103 | Celebi Lv103 | Machamp Lv103
67,Rocket Admin Archer,hardcore|normal,1,Cerulean Cave 1F [stage=12],Mamoswine Lv77 | Durant Lv78 | Mimikyu Lv79 | Houndoom Lv79,Ninetales Lv103 | Exeggutor Lv103 | Landorus Lv103 | Houndoom Lv103 | Sunflora Lv103
68,Rocket Admin Ariana,hardcore|normal,1,Cerulean Cave 1F [stage=12],Hatterene Lv77 | Rhyperior Lv78 | Honchkrow Lv78 | Mawile Lv79,Wailord Lv103 | Espeon Lv103 | Buzzwole Lv103 | Mawile Lv103
69,Boss Giovanni,hardcore|normal,1,Cerulean Cave B1F [stage=13],Tapu Lele Lv80 | Scrafty Lv80 | Excadrill Lv80 | Tyranitar Lv80 | Celesteela Lv80 | Mewtwo Lv80,Spiritomb Lv80 | Delphox Lv80 | Silvally Lv80 | Moltres Lv80 | Genesect Lv80 | Mewtwo Lv80
70,Team Rocket Grunt,hardcore|normal,1,Cerulean Cave 2F [stage=12],Golbat Lv75 | Mandibuzz Lv74 | Perrserker Lv75,Grimmsnarl Lv103 | Ursaring Lv103 | Kingambit Lv103 | Annihilape Lv103 | Espathra Lv103 | Sharpedo Lv103
71,Team Rocket Grunt,hardcore|normal,1,Cerulean Cave 2F [stage=12],Weavile Lv75 | Obstagoon Lv75,Weavile Lv75 | Obstagoon Lv75
72,Team Rocket Grunt,hardcore|normal,1,Cerulean Cave 1F [stage=12],Ursaring Lv75 | Garbodor Lv74 | Hydreigon Lv75,Glimmora Lv101 | Mandibuzz Lv103 | Blissey Lv103 | Tangrowth Lv103 | Slowbro Lv103 | Garbodor Lv103
73,Team Rocket Grunt,hardcore|normal,1,Cerulean Cave 1F [stage=12],Absol Lv74 | Centiskorch Lv75,Absol Lv74 | Centiskorch Lv75
74,Leader Clair,hardcore|normal,1,Viridian City Gym [stage=14],Aerodactyl Lv80 | Roaring Moon Lv81 | Dragonite Lv80 | Magearna Lv81 | Gouging Fire Lv81 | Naganadel Lv81,Shuckle Lv81 | Roaring Moon Lv81 | Magearna Lv81 | Necrozma Lv81 | Eternatus Lv81 | Archaludon Lv81
75,Leader Bugsy,hardcore|normal,1,Kindle Road [stage=17],Pheromosa Lv103 | Clawitzer Lv103 | Genesect Lv103 | Magnezone Lv103 | Arceus Lv103 | Pinsir Lv103,Pheromosa Lv103 | Clawitzer Lv103 | Genesect Lv103 | Magnezone Lv103 | Arceus Lv103 | Pinsir Lv103
76,Leader Whitney,hardcore|normal,1,Two Island House [stage=17],Zangoose Lv103 | Miltank Lv103 | Exploud Lv103 | Zoroark Lv103 | Ursaluna Lv103 | Snorlax Lv103,Zangoose Lv103 | Miltank Lv103 | Exploud Lv103 | Zoroark Lv103 | Ursaluna Lv103 | Snorlax Lv103
77,Elite Four Lorelei,hardcore|normal,1,Pokemon League [stage=16],Ninetales Lv103 | Glaceon Lv103 | Rotom Lv103 | Calyrex Lv103 | Abomasnow Lv103 | Baxcalibur Lv103,Glaceon Lv103 | Landorus Lv103 | Chien-Pao Lv103 | Tapu Fini Lv103 | Kyurem Lv103 | Abomasnow Lv103
78,Elite Four Lorelei,hardcore|normal,1,Pokemon League [stage=16],Politoed Lv103 | Ogerpon Lv103 | Swampert Lv103 | Walking Wake Lv103 | Kyogre Lv103 | Iron Bundle Lv103,Ludicolo Lv103 | Iron Bundle Lv103 | Genesect Lv103 | Dragonite Lv103 | Palkia Lv103 | Swampert Lv103
79,Leader Pryce,hardcore|normal,1,Seafoam Islands Kyogre's Chamber [stage=17],Abomasnow Lv103 | Calyrex Lv103 | Kyurem Lv103 | Wishiwashi Lv103 | Donphan Lv103 | Heracross Lv103,Abomasnow Lv103 | Calyrex Lv103 | Kyurem Lv103 | Wishiwashi Lv103 | Donphan Lv103 | Heracross Lv103
80,Elite Four Bruno,hardcore|normal,1,Pokemon League [stage=16],Infernape Lv103 | Urshifu Lv103 | Kommo-o Lv103 | Iron Valiant Lv103 | Zacian Lv103 | Lucario Lv103,Infernape Lv103 | Zeraora Lv103 | Iron Valiant Lv103 | Necrozma Lv103 | Zacian Lv103 | Lucario Lv103
81,Elite Four Bruno,hardcore|normal,1,Pokemon League [stage=16],Great Tusk Lv103 | Urshifu Lv103 | Iron Valiant Lv103 | Iron Hands Lv103 | Zacian Lv103 | Lucario Lv103,Urshifu Lv103 | Hawlucha Lv103 | Iron Valiant Lv103 | Necrozma Lv103 | Zacian Lv103 | Medicham Lv103
82,Ace Trainer Samantha,hardcore|normal,1,Pokemon Tower 9F [stage=17],Torkoal Lv103 | Charizard Lv103 | Milotic Lv103 | Dodrio Lv103 | Tyranitar Lv103 | Garchomp Lv103,Torkoal Lv103 | Charizard Lv103 | Volcanion Lv103 | Dodrio Lv103 | Tyranitar Lv103 | Garchomp Lv103
83,Elite Four Agatha,hardcore|normal,1,Pokemon League [stage=16],Zoroark Lv103 | Gholdengo Lv103 | Marshadow Lv103 | Flutter Mane Lv103 | Chien-Pao Lv103 | Gengar Lv103,Krookodile Lv103 | Mewtwo Lv103 | Yveltal Lv103 | Flutter Mane Lv103 | Victini Lv103 | Calyrex Lv103
84,Elite Four Agatha,hardcore|normal,1,Pokemon League [stage=16],Zoroark Lv103 | Gholdengo Lv103 | Marshadow Lv103 | Roaring Moon Lv103 | Chi-Yu Lv103 | Gengar Lv103,Krookodile Lv103 | Flutter Mane Lv103 | Mewtwo Lv103 | Yveltal Lv103 | Victini Lv103 | Calyrex Lv103
85,Ace Trainer Nick,hardcore|normal,1,Berry Forest [stage=17],Ninetales Lv103 | Garchomp Lv103 | Dragapult Lv103 | Heatran Lv103 | Arctozolt Lv103 | Zapdos Lv103,Ninetales Lv103 | Garchomp Lv103 | Dragapult Lv103 | Heatran Lv103 | Arctozolt Lv103 | Zapdos Lv103
86,Elite Four Lance,hardcore|normal,1,Pokemon League [stage=16],Aerodactyl Lv103 | Melmetal Lv103 | Iron Jugulis Lv103 | Dragonite Lv103 | Dialga Lv103 | Salamence Lv103,Glimmora Lv103 | Melmetal Lv103 | Arceus Lv103 | Dragonite Lv103 | Dialga Lv103 | Rayquaza Lv103
87,Elite Four Lance,hardcore|normal,1,Pokemon League [stage=16],Garchomp Lv103 | Melmetal Lv103 | Iron Jugulis Lv103 | Dragonite Lv103 | Dialga Lv103 | Salamence Lv103,Glimmora Lv103 | Melmetal Lv103 | Arceus Lv103 | Dragonite Lv103 | Dialga Lv103 | Rayquaza Lv103
88,Ace Trainer Barry,hardcore|normal,1,Berry Forest [stage=17],Landorus Lv103 | Corviknight Lv103 | Alakazam Lv103 | Kommo-o Lv103 | Latias Lv103 | Toxtricity Lv103,Landorus Lv103 | Corviknight Lv103 | Alakazam Lv103 | Kommo-o Lv103 | Latias Lv103 | Toxtricity Lv103
89,Youngster Ben,hardcore|normal,1,Route 3 [stage=1],Rattata Lv11 | Maschiff Lv12,Rattata Lv11 | Maschiff Lv12
90,Youngster Calvin,hardcore|normal,1,Route 3 [stage=1],Zigzagoon Lv15,Zigzagoon Lv15
91,Youngster Josh,hardcore|normal,1,Mt. Moon 1F [stage=1],Wooloo Lv13 | Rockruff Lv15 | Lechonk Lv16,Wooloo Lv13 | Rockruff Lv15 | Lechonk Lv16
92,Youngster Timmy,hardcore|normal,1,Route 24 [stage=2],Plusle Lv101 | Electrike Lv101 | Snover Lv101,Plusle Lv101 | Electrike Lv101 | Snover Lv101
93,Youngster Joey,hardcore|normal,1,Route 25 [stage=2],Raticate Lv18 | Raticate Lv18,Raticate Lv18 | Raticate Lv18
94,Youngster Dan,hardcore|normal,1,Route 25 [stage=2],Slowpoke Lv21,Slowpoke Lv21
95,Youngster Chad,hardcore|normal,1,Route 25 [stage=2],Volbeat Lv19 | Shroomish Lv21,Volbeat Lv19 | Shroomish Lv21
96,Youngster Tyler,hardcore|normal,1,S.S. Anne 1F Room 2 [stage=2],Eiscue Lv27,Eiscue Lv27
97,Youngster Eddie,hardcore|normal,1,Route 11 [stage=2],Arbok Lv26,Arbok Lv26
98,Youngster Dillon,hardcore|normal,1,Route 11 [stage=2],Phanpy Lv25 | Woobat Lv26,Phanpy Lv25 | Woobat Lv26
99,Youngster Yasu,hardcore|normal,1,Route 11 [stage=2],Rattata Lv25 | Greedent Lv25 | Raticate Lv24,Rattata Lv25 | Greedent Lv25 | Raticate Lv24
100,Youngster Dave,hardcore|normal,1,Route 11 [stage=2],Nidorino Lv25 | Greavard Lv25,Nidorino Lv25 | Greavard Lv25
102,Bug Catcher Rick,hardcore|normal,1,Viridian Forest [stage=0],Caterpie Lv6 | Tarountula Lv7,Caterpie Lv6 | Tarountula Lv7
103,Bug Catcher Doug,hardcore|normal,1,Viridian Forest [stage=0],Kakuna Lv7 | Spinarak Lv7 | Ledyba Lv7,Kakuna Lv7 | Spinarak Lv7 | Ledyba Lv7
104,Bug Catcher Sammy,hardcore|normal,1,Viridian Forest [stage=0],Grubbin Lv9,Kricketune Lv104 | Dustox Lv101 | Volbeat Lv104
