reward_id,reward_name,points,matched,confidence,ambiguous,match_score,trainer_db_id,trainer_db_name,location_preview,normal_team_preview,hardcore_team_preview
rival_route_22,Rival (Route 22),1,true,medium,true,85,329,Rival Blue,Route 22 [stage=0],Starly Lv9 | Squirtle Lv9,Snubbull Lv102 | Litleo Lv102 | Squirtle Lv103
brendan_viridian_forest,Brendan (Viridian Forest),1,true,high,false,162,44,PkMn Trainer Brendan,Viridian Forest [stage=0],Corphish Lv7 | Treecko Lv8,Meditite Lv101 | Corphish Lv102 | Numel Lv102 | Treecko Lv103
lass_anne_viridian_forest,Lass Anne (Viridian Forest),1,true,high,false,175,4,Lass Anne,Viridian Forest [stage=0],Stufful Lv102 | Clefairy Lv104 | Audino Lv102,Stufful Lv102 | Clefairy Lv104 | Audino Lv102
ace_nelle_viridian_forest,Ace Nelle (Viridian Forest),1,true,high,false,138,21,Ace Trainer Nelle,Viridian Forest Heart [stage=0],Charcadet Lv102 | Gulpin Lv102,Charcadet Lv102 | Gulpin Lv102
falkner,Falkner (Pewter City),2,true,high,false,165,45,Leader Falkner,Pewter City Museum 2F [stage=0],Rufflet Lv12 | Wattrel Lv14 | Flittle Lv14,Trumbeak Lv101 | Wattrel Lv103 | Yanma Lv104 | Squawkabilly Lv101 | Farfetch’d Lv101
brock,Brock (Pewter City),2,true,high,true,165,56,Leader Brock,Pewter City Gym [stage=9],Great Tusk Lv103 | Omastar Lv103 | Ursaluna Lv103 | Tyranitar Lv103 | Arcanine Lv103 | Aerodactyl Lv103,Iron Boulder Lv103 | Landorus Lv103 | Zygarde Lv103 | Iron Treads Lv103 | Ursaluna Lv103 | Aerodactyl Lv103
super_nerd_miguel,Super Nerd Miguel (Mt. Moon),1,true,high,false,175,170,Super Nerd Miguel,Mt. Moon B2F [stage=1],Thwackey Lv104 | Voltorb Lv104 | Bibarel Lv104 | Sableye Lv104,Thwackey Lv101 | Voltorb Lv102 | Swoobat Lv102 | Skiddo Lv102 | Sableye Lv102
admin_archer_mt_moon,Admin Archer (Mt. Moon),2,true,high,false,168,46,Rocket Admin Archer,Mt. Moon B2F [stage=1],Glimmet Lv18 | Houndour Lv19 | Mightyena Lv21,Glimmet Lv104 | Seviper Lv101 | Houndour Lv103 | Mightyena Lv101 | Fearow Lv104
rival_cerulean_city,Rival (Cerulean City),1,true,medium,true,85,332,Rival Blue,Cerulean City [stage=2],Kirlia Lv102 | Staravia Lv101 | Pawniard Lv103 | Wartortle Lv102,Hitmonlee Lv102 | Eevee Lv101 | Clefable Lv102 | Simisear Lv102 | Arbok Lv103 | Wartortle Lv103
catcher_cale,Catcher Cale (Nugget Bridge),1,true,high,false,133,110,Bug Catcher Cale,Route 24 [stage=2],Vivillon Lv104 | Butterfree Lv101 | Wormadam Lv101,Vivillon Lv104 | Butterfree Lv101 | Wormadam Lv101
lass_ali,Lass Ali (Nugget Bridge),1,true,high,false,140,123,Lass Ali,Route 24 [stage=2],Jigglypuff Lv102 | Amaura Lv101 | Brionne Lv101,Jigglypuff Lv102 | Amaura Lv101 | Brionne Lv101
youngster_timmy,Youngster Timmy (Nugget Bridge),1,true,high,false,140,92,Youngster Timmy,Route 24 [stage=2],Plusle Lv101 | Electrike Lv101 | Snover Lv101,Plusle Lv101 | Electrike Lv101 | Snover Lv101
lass_reli,Lass Reli (Nugget Bridge),1,true,high,false,140,122,Lass Reli,Route 24 [stage=2],Greedent Lv101 | Togetic Lv104 | Clamperl Lv101,Greedent Lv101 | Togetic Lv104 | Clamperl Lv101
camper_ethan,Camper Ethan (Nugget Bridge),1,true,high,false,140,144,Camper Ethan,Route 24 [stage=2],Mabosstiff Lv102 | Salandit Lv103 | Misdreavus Lv102,Mabosstiff Lv101 | Salandit Lv101 | Misdreavus Lv101
rocket_grunt_nugget_bridge,Rocket Grunt (Nugget Bridge),2,true,manual,false,999,356,Team Rocket Grunt,Route 24 [stage=2],Growlithe Lv103 | Gabite Lv101 | Togedemaru Lv101 | Komala Lv101,Arcanine Lv101 | Druddigon Lv103 | Togedemaru Lv102 | Komala Lv103
bugsy,Bugsy (Route 25),2,true,high,true,165,8,Leader Bugsy,Route 25 [stage=4],Kleavor Lv103 | Scizor Lv103 | Scyther Lv103 | Lokix Lv103 | Araquanid Lv103 | Vikavolt Lv103,Kleavor Lv103 | Scizor Lv103 | Scyther Lv103 | Lokix Lv103 | Araquanid Lv103 | Vikavolt Lv103
misty,Misty (Cerulean City),2,true,high,true,165,32,Leader Misty,Cerulean City Gym [stage=17],Pikachu Lv103 | Kyogre Lv103 | Goodra Lv103 | Kingdra Lv103 | Drednaw Lv103 | Floatzel Lv103,Pikachu Lv103 | Kyogre Lv103 | Goodra Lv103 | Kingdra Lv103 | Drednaw Lv103 | Floatzel Lv103
rocket_grunt_dig_house,Rocket Grunt (Dig House),1,true,manual,false,999,355,Team Rocket Grunt,Cerulean City [stage=2],Persian Lv101 | Golbat Lv102 | Oinkologne Lv104 | Octillery Lv102,Persian Lv101 | Crobat Lv101 | Raticate Lv102 | Veluza Lv104
ann_and_brooks,Ann & Brooks (S.S. Anne),1,true,high,false,112,,,,,
edmond_and_trevor,Edmond & Trevor (S.S. Anne),1,true,high,true,99,,,,,
brendan_ss_anne,Brendan (S.S. Anne),2,true,high,false,162,50,PkMn Trainer Brendan,S.S. Anne 2F [stage=2],Loudred Lv103 | Lunatone Lv103 | Crawdaunt Lv103 | Grovyle Lv103,Crawdaunt Lv103 | Slaking Lv103 | Plusle Lv103 | Gardevoir Lv103 | Sceptile Lv103 | Hariyama Lv103
whitney,Whitney (Route 11),2,true,high,false,165,49,Leader Whitney,Route 11 [stage=2],Tinkaton Lv103 | Farigiraf Lv103 | Miltank Lv103 | Drampa Lv103 | Dudunsparce Lv103,Pyroar Lv103 | Farigiraf Lv103 | Luvdisc Lv103 | Swellow Lv103 | Togekiss Lv103 | Altaria Lv103
lt_surge,Lt. Surge,2,true,high,true,143,51,Leader Lt. Surge,Vermilion City Gym [stage=9],Iron Treads Lv103 | Bellibolt Lv103 | Rotom Lv103 | Pawmot Lv103 | Manectric Lv103 | Iron Hands Lv103,Pawmot Lv103 | Iron Thorns Lv103 | Iron Moth Lv103 | Iron Hands Lv103 | Miraidon Lv103 | Manectric Lv103
picknicker_caitlin,Picknicker Caitlin (Route 9),1,true,high,false,175,155,Picnicker Caitlin,Route 9 [stage=3],Smeargle Lv103 | Spinda Lv103 | Sneasel Lv101 | Liepard Lv101,Smeargle Lv103 | Spinda Lv103 | Sneasel Lv102 | Liepard Lv102
morty,Morty (Lavender Town),2,true,high,false,165,52,Leader Morty,Lavender Town Mr. Fuji's House [stage=3],Mimikyu Lv103 | Dusknoir Lv103 | Zoroark Lv103 | Skeledirge Lv103 | Gengar Lv103 | Ceruledge Lv103,Krookodile Lv103 | Dusknoir Lv103 | Mismagius Lv103 | Ceruledge Lv103 | Weavile Lv103 | Gengar Lv103
